Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-22,2026-07-27,5,59.0,62.42,121.42,GDN,ARN,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=arn&outboundDate=2026-07-22&inboundDate=2026-07-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-22,2026-07-29,7,59.0,62.42,121.42,GDN,ARN,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=arn&outboundDate=2026-07-22&inboundDate=2026-07-29&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,243.0,-50.03
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-22,2026-07-28,6,59.0,62.42,121.42,GDN,ARN,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=arn&outboundDate=2026-07-22&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,243.0,-50.03
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-23,2026-07-27,4,59.0,62.42,121.42,GDN,STO,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=sto&outboundDate=2026-07-23&inboundDate=2026-07-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-23,2026-07-28,5,59.0,62.42,121.42,GDN,STO,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=sto&outboundDate=2026-07-23&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-21,2026-07-23,2,59.0,62.42,121.42,GDN,STO,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=sto&outboundDate=2026-07-21&inboundDate=2026-07-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-22,2026-07-26,4,59.0,62.42,121.42,GDN,ARN,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=arn&outboundDate=2026-07-22&inboundDate=2026-07-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-21,2026-07-27,6,59.0,62.42,121.42,GDN,STO,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=sto&outboundDate=2026-07-21&inboundDate=2026-07-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Sztokholm,Szwecja,Gdańsk,2026-07-21,2026-07-28,7,59.0,62.42,121.42,GDN,STO,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=sto&outboundDate=2026-07-21&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Sztokholm,157.20248768472905,-1.3226932430685256,,0.0
Gdańsk,Gotenburg,Szwecja,Gdańsk,2026-08-28,2026-08-31,3,59.0,62.42,121.42,GDN,GOT,GDN,wizzair,wizzair,PLN,SEK,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=gdn&destination=got&outboundDate=2026-08-28&inboundDate=2026-08-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Gdańsk-Gotenburg,140.4766666666667,-1.487378389278726,,0.0
