Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-17,2026-06-24,7,69,64,133,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-17&inboundDate=2026-06-24&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,160.0,-2.0167339259180896,133.95999999999998,-0.72
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-27,2026-06-03,7,69,81,150,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-27&inboundDate=2026-06-03&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,194.0,-1.968396061612155,150.4,-0.27
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-28,2026-06-04,7,89,64,153,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-28&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,194.0,-1.834187239229508,153.95999999999998,-0.62
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-06-13,2026-06-15,2,76,79,155,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-06-13&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,282.09090909090907,-1.154337709790348,159.87,-3.05
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-21,2026-05-28,7,63,95,158,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-21&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,191.33333333333334,-1.6047416349289167,158.82999999999998,-0.52
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-27,2026-06-02,6,69,97,166,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-27&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,194.0,-1.2526156755713713,166.85,-0.51
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-28,2026-06-03,6,89,81,170,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-28&inboundDate=2026-06-03&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,194.0,-1.0736705790611754,,0.0
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-26,2026-05-28,2,89,81,170,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-26&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,194.0,-1.0736705790611754,,0.0
Warszawa,Charleroi,Belgia,Warszawa,2026-06-08,2026-06-15,7,104,72,176,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-08&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,199.16666666666666,-1.8930233369938003,172.09,2.27
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-06-19,2026-06-21,2,108,108,216,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-06-19&inboundDate=2026-06-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,340.8888888888889,-1.0717269037935566,217.98,-0.91
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-11,3,69,170,239,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-2.2438505994025073,264.86,-9.76
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-14,6,69,170,239,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-14&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-2.2438505994025073,239.31,-0.13
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-10,2,69,170,239,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-10&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-2.2438505994025073,239.31,-0.13
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-13,5,69,170,239,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-13&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,346.1025641025641,-2.2438505994025073,239.31,-0.13
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-06-02,7,179,63,242,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,405.030303030303,-3.5702541474762715,242.84,-0.35
