departure,return,price,departure_airport,arrival_airport,trip_days,DepartureCity,DepartureCountry,ArrivalCity,ArrivalCountry,route,price_yesterday,price_change_percent,Round_Trip_Link
2025-12-06,2025-12-16,2242,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-06&inboundDate=2025-12-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-06,2025-12-19,2411,BER,BKK,13,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-06&inboundDate=2025-12-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-06,2025-12-17,2411,BER,BKK,11,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-06&inboundDate=2025-12-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-07,2025-12-23,2496,BER,BKK,16,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-07&inboundDate=2025-12-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-07,2025-12-19,2496,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-07&inboundDate=2025-12-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-07,2025-12-17,2496,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2882.0,-13.39,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-07&inboundDate=2025-12-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-06,2025-12-20,2665,BER,BKK,14,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-06&inboundDate=2025-12-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-09,2025-12-24,2665,BER,BKK,15,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2797.0,-4.72,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-09&inboundDate=2025-12-24&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2025-12-06,2025-12-18,2665,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2025-12-06&inboundDate=2025-12-18&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-21,2026-01-31,2708,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-21&inboundDate=2026-01-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-12,2026-01-26,2813,BER,BKK,14,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-12&inboundDate=2026-01-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-14,2026-01-28,2813,BER,BKK,14,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-14&inboundDate=2026-01-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-11,2026-01-25,2813,BER,BKK,14,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-11&inboundDate=2026-01-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-16,2026-01-27,2813,BER,BKK,11,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-16&inboundDate=2026-01-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-16,2026-01-28,2813,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,,0.0,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-16&inboundDate=2026-01-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-18,2026-01-28,2813,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-18&inboundDate=2026-01-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-09,2026-01-21,2813,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-09&inboundDate=2026-01-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-14,2026-01-26,2813,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-14&inboundDate=2026-01-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-11,2026-01-21,2813,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-11&inboundDate=2026-01-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-15,2026-01-25,2813,BER,BKK,10,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-15&inboundDate=2026-01-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-11,2026-01-26,2813,BER,BKK,15,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-11&inboundDate=2026-01-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-12,2026-01-27,2813,BER,BKK,15,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-12&inboundDate=2026-01-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-15,2026-01-26,2813,BER,BKK,11,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-15&inboundDate=2026-01-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-15,2026-01-27,2813,BER,BKK,12,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-15&inboundDate=2026-01-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
2026-01-09,2026-01-20,2813,BER,BKK,11,Berlin,Niemcy,Bangkok,Tajlandia,BER - BKK,2819.0,-0.21,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=ber&destination=bkk&outboundDate=2026-01-09&inboundDate=2026-01-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
