departure,return,price,departure_airport,arrival_airport,date_of_export,DepartureCity,DepartureCountry,ArrivalCity,ArrivalCountry
2025-09-17,,1186.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-18,,489.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-19,,1041.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-20,,489.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-21,,923.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-22,,636.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-23,,389.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-24,,636.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-25,,399.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-26,,1018.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-27,,359.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-28,,743.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-29,,444.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-30,,359.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-01,,622.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-02,,489.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-03,,1004.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-04,,638.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-05,,729.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-06,,622.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-07,,389.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-08,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-09,,309.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-10,,665.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-11,,339.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-12,,633.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-13,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-14,,269.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-15,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-16,,359.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-17,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-18,,309.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-19,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-20,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-21,,219.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-22,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-23,,219.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-24,,561.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-25,,219.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-26,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-27,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-28,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-29,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-30,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-10-31,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-01,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-02,,665.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-03,,447.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-04,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-05,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-06,,665.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-07,,769.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-08,,903.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-09,,612.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-10,,557.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-11,,557.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-12,,546.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-13,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-14,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-15,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-16,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-17,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-18,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-19,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-20,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-21,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-22,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-23,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-24,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-25,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-26,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-27,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-28,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-29,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-11-30,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-01,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-02,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-03,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-04,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-05,,302.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-06,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-07,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-08,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-09,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-10,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-11,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-12,,302.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-13,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-14,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-15,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-16,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-17,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-18,,302.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-19,,366.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-20,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-21,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-22,,460.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-23,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-24,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-25,,558.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-26,,833.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-27,,940.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-28,,940.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-29,,909.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-12-30,,909.0,WAW,HER,2025-09-17,Warszawa,Polska,Heraklion,Grecja
2025-09-17,,1203.0,WAW,RHO,2025-09-17,Warszawa,Polska,Rodos,Grecja
2025-09-18,,489.0,WAW,RHO,2025-09-17,Warszawa,Polska,Rodos,Grecja
2025-09-19,,1065.0,WAW,RHO,2025-09-17,Warszawa,Polska,Rodos,Grecja
2025-09-20,,916.0,WAW,RHO,2025-09-17,Warszawa,Polska,Rodos,Grecja
