departure,return,price,departure_airport,arrival_airport,date_of_export,DepartureCity,DepartureCountry,ArrivalCity,ArrivalCountry,price_type,class_of_service,has_mac_flight,currency,route,scraped_at_utc
2026-05-01,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-02,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-03,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-04,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-05,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-06,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-07,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-08,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-09,,796.79,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-10,,816.41,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-11,,786.79,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-12,,663.62,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-13,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-14,,359.18,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-15,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-16,,172.06,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-17,,236.85,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-18,,198.45,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-19,,186.09,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-20,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-21,,346.84,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-22,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-23,,188.93,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-24,,211.47,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-25,,245.32,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-26,,448.37,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-27,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-28,,322.66,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-29,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-05-30,,355.18,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-05-31,,380.68,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-01,,321.46,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-02,,376.45,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-03,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-06-04,,608.54,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-05,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-06-06,,262.69,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-07,,253.78,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-08,,338.38,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-09,,824.87,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-10,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-06-11,,444.14,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-12,,,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,unavailable,,,,WAW-AGP,2026-05-08T07:26:12Z
2026-06-13,,277.8,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-14,,232.62,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-15,,283.39,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
2026-06-16,,390.68,WAW,AGP,2026-05-08,Warszawa,Polska,Malaga,Hiszpania,price,,,PLN,WAW-AGP,2026-05-08T07:26:12Z
