origin,destination,route,origin_city,origin_country,destination_city,destination_country,destination_airport_name,operator,seasonal,recent,scraped_at_utc
WAW,AGP,WAW-AGP,Warszawa,Polska,Malaga,Hiszpania,Malaga,FR,False,True,2026-05-01T09:09:28Z
WAW,ALC,WAW-ALC,Warszawa,Polska,Alicante,Hiszpania,Alicante,FR,False,True,2026-05-01T09:09:28Z
WAW,CRL,WAW-CRL,Warszawa,Polska,Charleroi,Belgia,Bruksela-Charleroi,FR,False,True,2026-05-01T09:09:28Z
WAW,LBA,WAW-LBA,Warszawa,Polska,Leeds,Wielka Brytania,Leeds/Bradford,FR,False,True,2026-05-01T09:09:28Z
WAW,MAN,WAW-MAN,Warszawa,Polska,Manchester,Wielka Brytania,Manchester,FR,False,True,2026-05-01T09:09:28Z
WAW,OPO,WAW-OPO,Warszawa,Polska,Porto,Portugalia,Porto,FR,False,True,2026-05-01T09:09:28Z
WAW,PFO,WAW-PFO,Warszawa,Polska,Pafos,Cypr,Pafos,FR,False,True,2026-05-01T09:09:28Z
WAW,PMI,WAW-PMI,Warszawa,Polska,Majorka,Hiszpania,Palma,FR,False,True,2026-05-01T09:09:28Z
WAW,PSA,WAW-PSA,Warszawa,Polska,Piza,Włochy,Piza,FR,False,True,2026-05-01T09:09:28Z
WAW,SVQ,WAW-SVQ,Warszawa,Polska,Sewilla,Hiszpania,Sewilla,FR,False,True,2026-05-01T09:09:28Z
WAW,TIA,WAW-TIA,Warszawa,Polska,Tirana,Albania,Tirana,FR,False,True,2026-05-01T09:09:28Z
WAW,VIE,WAW-VIE,Warszawa,Polska,Wiedeń,Austria,Wiedeń,FR,False,True,2026-05-01T09:09:28Z
WMI,AGP,WMI-AGP,Warszawa,Polska,Malaga,Hiszpania,Malaga,FR,False,False,2026-05-01T09:09:28Z
WMI,AHO,WMI-AHO,Warszawa,Polska,Alghero,Włochy,Alghero,FR,False,True,2026-05-01T09:09:28Z
WMI,ALC,WMI-ALC,Warszawa,Polska,Alicante,Hiszpania,Alicante,FR,False,False,2026-05-01T09:09:28Z
