origin,destination,route,scraped_at_utc
WAW,AGA,WAW-AGA,2026-04-30T21:41:33Z
WAW,AGP,WAW-AGP,2026-04-30T21:41:33Z
WAW,ALC,WAW-ALC,2026-04-30T21:41:33Z
WAW,BBU,WAW-BBU,2026-04-30T21:41:33Z
WAW,BCN,WAW-BCN,2026-04-30T21:41:33Z
WAW,BGY,WAW-BGY,2026-04-30T21:41:33Z
WAW,BIO,WAW-BIO,2026-04-30T21:41:33Z
WAW,BLQ,WAW-BLQ,2026-04-30T21:41:33Z
WAW,BOJ,WAW-BOJ,2026-04-30T21:41:33Z
WAW,BRI,WAW-BRI,2026-04-30T21:41:33Z
WAW,BSL,WAW-BSL,2026-04-30T21:41:33Z
WAW,BTS,WAW-BTS,2026-04-30T21:41:33Z
WAW,BUD,WAW-BUD,2026-04-30T21:41:33Z
WAW,CFU,WAW-CFU,2026-04-30T21:41:33Z
WAW,CHQ,WAW-CHQ,2026-04-30T21:41:33Z
WAW,CIA,WAW-CIA,2026-04-30T21:41:33Z
WAW,CPH,WAW-CPH,2026-04-30T21:41:33Z
WAW,CRL,WAW-CRL,2026-04-30T21:41:33Z
WAW,CTA,WAW-CTA,2026-04-30T21:41:33Z
WAW,DBV,WAW-DBV,2026-04-30T21:41:33Z
WAW,DTM,WAW-DTM,2026-04-30T21:41:33Z
WAW,EIN,WAW-EIN,2026-04-30T21:41:33Z
WAW,FAO,WAW-FAO,2026-04-30T21:41:33Z
WAW,FCO,WAW-FCO,2026-04-30T21:41:33Z
WAW,FNC,WAW-FNC,2026-04-30T21:41:33Z
WAW,FUE,WAW-FUE,2026-04-30T21:41:33Z
WAW,GHV,WAW-GHV,2026-04-30T21:41:33Z
WAW,GNB,WAW-GNB,2026-04-30T21:41:33Z
WAW,GOA,WAW-GOA,2026-04-30T21:41:33Z
WAW,HER,WAW-HER,2026-04-30T21:41:33Z
WAW,JTR,WAW-JTR,2026-04-30T21:41:33Z
WAW,KEF,WAW-KEF,2026-04-30T21:41:33Z
WAW,KUT,WAW-KUT,2026-04-30T21:41:33Z
WAW,LBA,WAW-LBA,2026-04-30T21:41:33Z
WAW,LCA,WAW-LCA,2026-04-30T21:41:33Z
WAW,LIS,WAW-LIS,2026-04-30T21:41:33Z
WAW,LON,WAW-LON,2026-04-30T21:41:33Z
WAW,LPL,WAW-LPL,2026-04-30T21:41:33Z
WAW,LTN,WAW-LTN,2026-04-30T21:41:33Z
WAW,MAD,WAW-MAD,2026-04-30T21:41:33Z
WAW,MAH,WAW-MAH,2026-04-30T21:41:33Z
WAW,MIL,WAW-MIL,2026-04-30T21:41:33Z
WAW,MLA,WAW-MLA,2026-04-30T21:41:33Z
WAW,MXP,WAW-MXP,2026-04-30T21:41:33Z
WAW,NAP,WAW-NAP,2026-04-30T21:41:33Z
WAW,NCE,WAW-NCE,2026-04-30T21:41:33Z
WAW,NYO,WAW-NYO,2026-04-30T21:41:33Z
WAW,OLB,WAW-OLB,2026-04-30T21:41:33Z
WAW,OOS,WAW-OOS,2026-04-30T21:41:33Z
WAW,OPO,WAW-OPO,2026-04-30T21:41:33Z
WAW,ORY,WAW-ORY,2026-04-30T21:41:33Z
WAW,OTP,WAW-OTP,2026-04-30T21:41:33Z
WAW,PAR,WAW-PAR,2026-04-30T21:41:33Z
WAW,PMI,WAW-PMI,2026-04-30T21:41:33Z
WAW,PSA,WAW-PSA,2026-04-30T21:41:33Z
WAW,RAK,WAW-RAK,2026-04-30T21:41:33Z
WAW,RHO,WAW-RHO,2026-04-30T21:41:33Z
WAW,ROM,WAW-ROM,2026-04-30T21:41:33Z
WAW,SOF,WAW-SOF,2026-04-30T21:41:33Z
WAW,SPU,WAW-SPU,2026-04-30T21:41:33Z
WAW,STO,WAW-STO,2026-04-30T21:41:33Z
WAW,SUF,WAW-SUF,2026-04-30T21:41:33Z
WAW,SVQ,WAW-SVQ,2026-04-30T21:41:33Z
WAW,TFS,WAW-TFS,2026-04-30T21:41:33Z
WAW,TGD,WAW-TGD,2026-04-30T21:41:33Z
WAW,TIA,WAW-TIA,2026-04-30T21:41:33Z
