Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_change_percent
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-17,2026-06-24,7,69.0,64.96,133.95999999999998,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-17&inboundDate=2026-06-24&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,160.56318181818182,-1.9871689971247366,
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-27,2026-06-03,7,69.0,81.4,150.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-27&inboundDate=2026-06-03&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,191.31966666666668,-1.8674911537196803,
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-28,2026-06-04,7,89.0,64.96,153.95999999999998,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-28&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,191.31966666666668,-1.7050199253639098,
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-21,2026-05-28,7,63.83,95.0,158.82999999999998,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-21&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,190.90666666666667,-1.4782547325812148,
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-06-13,2026-06-15,2,80.87,79.0,159.87,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-06-13&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,282.2718181818182,-1.08512258704956,
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-27,2026-06-02,6,69.0,97.85,166.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-27&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,191.31966666666668,-1.1167462923566345,
Warszawa,Charleroi,Belgia,Warszawa,2026-06-08,2026-06-15,7,104.0,68.09,172.09,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-08&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,199.59166666666667,-1.7689409787279147,
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-06-19,2026-06-21,2,108.99,108.99,217.98,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-06-19&inboundDate=2026-06-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,371.407,-1.079775621073041,
Warszawa,Bukareszt,Rumunia,Warszawa,2026-08-09,2026-08-12,3,129.0,106.07,235.07,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-08-09&inboundDate=2026-08-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,338.46375,-2.446764724943641,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-10,2,69.0,170.31,239.31,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-10&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-2.3117482044950473,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-14,6,69.0,170.31,239.31,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-14&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-2.3117482044950473,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-13,5,69.0,170.31,239.31,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-13&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-2.3117482044950473,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-06-02,7,179.0,63.84,242.84,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,408.34514285714283,-3.2794293417165514,
Warszawa,Bukareszt,Rumunia,Warszawa,2026-08-17,2026-08-20,3,89.0,155.41,244.41,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-08-17&inboundDate=2026-08-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Bukareszt,338.46375,-2.2257379943049553,
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-05-15,2026-05-17,2,140.48,106.04,246.51999999999998,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-05-15&inboundDate=2026-05-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,307.93833333333333,-1.203124470532271,
Warszawa,Charleroi,Belgia,Warszawa,2026-08-28,2026-08-31,3,145.4,112.99,258.39,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-08-28&inboundDate=2026-08-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,280.23400000000004,-1.205881628431727,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-15,7,69.0,195.86,264.86,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-1.7720458598503497,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-12,4,69.0,195.86,264.86,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-1.7720458598503497,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-06-08,2026-06-11,3,69.0,195.86,264.86,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-06-08&inboundDate=2026-06-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,348.7502631578947,-1.7720458598503497,
Warszawa,Charleroi,Belgia,Warszawa,2026-07-27,2026-08-02,6,104.0,178.81,282.81,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-07-27&inboundDate=2026-08-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,350.43,-1.83013032448984,
Warszawa,Charleroi,Belgia,Warszawa,2026-05-24,2026-05-31,7,208.99,89.38,298.37,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-05-24&inboundDate=2026-05-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,384.326,-1.055818217963217,
Warszawa,Charleroi,Belgia,Warszawa,2026-05-29,2026-05-31,2,212.88,89.38,302.26,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-05-29&inboundDate=2026-05-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,384.326,-1.00803641252931,
Warszawa,Charleroi,Belgia,Warszawa,2026-07-31,2026-08-07,7,141.65,166.04,307.69,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-07-31&inboundDate=2026-08-07&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,350.43,-1.1567549551714844,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-27,2026-06-02,6,249.0,63.84,312.84000000000003,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-27&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,408.34514285714283,-1.8924026309012543,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-19,2026-05-26,7,174.55,174.55,349.1,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-19&inboundDate=2026-05-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-2.1727816515945344,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-05-28,2,179.0,170.31,349.31,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,408.34514285714283,-1.1697617145664854,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-05-29,3,179.0,170.31,349.31,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-05-29&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,408.34514285714283,-1.1697617145664854,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-30,2026-06-02,3,289.0,63.84,352.84000000000003,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-30&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,408.34514285714283,-1.099815939006799,
